Time,x,y,z

1.36,-0.136945,-0.902434,-0.099735
1.38,-0.0716445,-0.912438,0.006222
1.4,-0.0716445,-0.912438,0.006222
1.42,-0.0732305,-0.8728795,0.0722545
1.44,-0.0732305,-0.8728795,0.0722545
1.46,-0.002806,-0.7476465,0.350933
1.48,-0.002806,-0.7476465,0.350933
1.5,-0.221064,-0.5079165,0.131211
1.52,-0.221064,-0.5079165,0.131211
1.54,-0.110715,-0.2779465,0.470188
1.56,-0.110715,-0.2779465,0.470188
1.58,-0.110715,-0.2779465,0.470188
1.6,-0.247904,-0.1711355,0.66917
1.62,-0.247904,-0.1711355,0.66917
1.64,-0.1607655,0.4191615,-0.9671245
1.66,-0.1607655,0.4191615,-0.9671245
1.68,0.205692,0.3747535,-2.115388
1.7,0.205692,0.3747535,-2.115388
1.72,0.2774585,0.341661,-3.022947
1.74,0.2774585,0.341661,-3.022947
1.76,-0.1943155,0.00061,-1.659353
1.78,-0.1943155,0.00061,-1.659353
1.8,-0.1943155,0.00061,-1.659353
1.82,-0.22692,-0.0348005,-1.265811
1.84,-0.22692,-0.0348005,-1.265811
1.86,-0.106567,-0.0559065,-0.941474
1.88,-0.106567,-0.0559065,-0.941474
1.9,-0.004392,-0.0827465,-1.131184
1.92,-0.004392,-0.0827465,-1.131184
1.94,-0.0611525,-0.0822585,-1.176232
1.96,-0.0555405,-0.0494405,-1.18343
1.98,0.009638,-0.022204,-0.9606586
2,0.009638,-0.022204,-0.9606586
2.02,0.009638,-0.022204,-0.9606586
2.04,-0.0815265,0.003294,-1.032425
2.06,-0.0815265,0.003294,-1.032425
2.08,0.0509045,-0.01708,-0.9455305
2.1,0.0509045,-0.01708,-0.9455305
2.12,0.013176,-0.020496,-1.041087
2.14,0.013176,-0.020496,-1.041087
2.16,-0.0646905,-0.025986,-1.066005
2.18,-0.0646905,-0.025986,-1.066005
2.2,0.000732,-0.02806,-1.047797
2.22,0.000732,-0.02806,-1.047797
2.24,-0.0424865,-0.025376,-0.9904265
2.26,-0.0424865,-0.025376,-0.9904265
2.28,-0.0424865,-0.025376,-0.9904265
2.3,-0.0423645,0.001708,-0.9979905
2.32,-0.0423645,0.001708,-0.9979905
2.34,-0.007686,0.01098,-1.011807
2.36,-0.007686,0.01098,-1.011807
2.38,0.005246,0.00549,-1.040721
2.4,0.005246,0.00549,-1.040721
2.42,-0.01525,0.014884,-1.014491
2.44,-0.01647,0.019886,-0.9953066
2.46,-0.02074,0.015738,-1.021933
2.48,-0.017934,0.010736,-1.011075
2.5,-0.017934,0.010736,-1.011075
2.52,-0.000488,0.0122,-1.004243
2.54,0.0349225,0.006832,-1.042795
2.56,0.0489525,0.009881999,-1.038647
2.58,0.0489525,0.009881999,-1.038647
2.6,0.0489525,0.009881999,-1.038647
2.62,-0.0293105,0.0322385,-1.027301
2.64,-0.0293105,0.0322385,-1.027301
2.66,0.023302,0.025376,-1.003755
2.68,0.023302,0.025376,-1.003755
2.7,-0.0313845,0.0345565,-1.027423
2.72,-0.0313845,0.0345565,-1.027423
2.74,-0.0313845,0.0345565,-1.027423
2.76,0.02013,0.0313845,-1.030595
2.78,0.02013,0.0313845,-1.030595
2.8,-0.0308965,0.0462685,-1.005341
2.82,-0.0308965,0.0462685,-1.005341
2.84,0.028182,0.0324825,-1.045113
2.86,0.028182,0.0324825,-1.045113
2.88,0.00549,0.0328485,-1.023275
2.9,-0.0379725,0.0448045,-0.9872545
2.92,-0.0379725,0.0448045,-0.9872545
2.94,-0.0317505,0.0463905,-0.9927445
2.96,0.016592,0.025742,-1.023275
2.98,0.004392,0.025864,-1.020957
3,0.004392,0.025864,-1.020957
3.02,-0.025254,0.0424865,-1.020347
3.04,-0.025254,0.0424865,-1.020347
3.06,0.011346,0.018422,-1.023031
3.08,0.011346,0.018422,-1.023031
3.1,0.011346,0.018422,-1.023031
3.12,-0.014884,0.0328485,-1.007293
3.14,-0.014884,0.0328485,-1.007293
3.16,-0.006466,0.027572,-1.018395
3.18,-0.01647,0.0290665,-1.016565
3.2,-0.01708,0.0287005,-1.026691
3.22,-0.01708,0.0287005,-1.026691
3.24,-0.001708,0.0306525,-1.050359
3.26,-0.002684,0.027328,-1.056093
3.28,-0.002684,0.027328,-1.056093
3.3,-0.002684,0.027328,-1.056093
3.32,-0.0297985,0.014396,-1.070397
3.34,-0.0624945,0.023058,-1.051335
