Time,x,y,z

1.82,-0.010492,-0.9864005,-0.087291
1.84,-0.010492,-0.9864005,-0.087291
1.86,-0.010492,-0.9864005,-0.087291
1.88,0.01037,-0.9879865,-0.120353
1.9,0.008174,-0.9860345,-0.116693
1.92,-0.00061,-0.9743225,-0.0790865
1.94,-0.00061,-0.9743225,-0.0790865
1.96,-0.00061,-0.9743225,-0.0790865
1.98,0.00488,-0.9743225,-0.0756705
2,0.00183,-0.9602925,-0.095343
2.02,0.00183,-0.9602925,-0.095343
2.04,-0.00488,-0.9638305,-0.107177
2.06,-0.00488,-0.9638305,-0.107177
2.08,-0.010126,-0.943548,-0.09802701
2.1,-0.010126,-0.943548,-0.09802701
2.12,0.016714,-0.926224,-0.0616405
2.14,0.016714,-0.926224,-0.0616405
2.16,0.002928,-0.926834,-0.131211
2.18,0.002928,-0.926834,-0.131211
2.2,0.002928,-0.926834,-0.131211
2.22,0.00549,-0.9189039,-0.1862635
2.24,-0.012566,-0.900848,-0.1844335
2.26,-0.014884,-0.8951139,-0.1804075
2.28,-0.014884,-0.8951139,-0.1804075
2.3,-0.0356545,-0.8454295,-0.1847995
2.32,-0.0356545,-0.8454295,-0.1847995
2.34,-0.015616,-0.774151,-0.222162
2.36,-0.015616,-0.774151,-0.222162
2.38,-0.015616,-0.774151,-0.222162
2.4,-0.0800625,-0.682712,-0.216916
2.42,-0.0800625,-0.682712,-0.216916
2.44,-0.0722545,-0.6229015,-0.358619
2.46,-0.0722545,-0.6229015,-0.358619
2.48,-0.0324825,-0.593835,-0.3887835
2.5,-0.0324825,-0.593835,-0.3887835
2.52,-0.0585905,-0.47519,-0.549915
2.54,-0.0585905,-0.47519,-0.549915
2.56,-0.0350445,-0.4244075,-0.8627535
2.58,-0.0350445,-0.4244075,-0.8627535
2.6,-0.0350445,-0.4244075,-0.8627535
2.62,0,-0.333243,-1.166564
2.64,0,-0.333243,-1.166564
2.66,0.008661999,-0.316651,-1.280207
2.68,0.008661999,-0.316651,-1.280207
2.7,0.0760365,-0.1924855,-1.438166
2.72,0.0760365,-0.1924855,-1.438166
2.74,0.0491965,-0.127673,-1.241899
2.76,0.0491965,-0.127673,-1.241899
2.78,0.0385825,-0.131821,-1.296342
2.8,0.0385825,-0.131821,-1.296342
2.82,0.0385825,-0.131821,-1.296342
2.84,0.1882155,-0.0689605,-1.253367
2.86,0.1882155,-0.0689605,-1.253367
2.88,0.2684305,0.005368,-1.220031
2.9,0.2684305,0.005368,-1.220031
2.92,0.2684305,0.005368,-1.220031
2.94,-0.020618,0.008905999,-0.9894505
2.96,0.137799,-0.006466,-0.91073
2.98,0.1566175,-0.017202,-0.9504105
3,0.1566175,-0.017202,-0.9504105
3.02,0.100345,0.0380945,-1.009245
3.04,0.100345,0.0380945,-1.009245
3.06,0.100345,0.0380945,-1.009245
3.08,0.0785985,0.0743285,-1.014613
3.1,0.0785985,0.0743285,-1.014613
3.12,0.0595665,0.0814045,-0.9956725
3.14,0.0595665,0.0814045,-0.9956725
3.16,0.0592005,0.0846985,-1.013759
3.18,0.0592005,0.0846985,-1.013759
3.2,0.0294325,0.0728645,-1.012905
3.22,0.0294325,0.0728645,-1.012905
3.24,0.0294325,0.0728645,-1.012905
3.26,0.027572,0.07884251,-1.010099
3.28,0.016836,0.0709125,-1.005707
3.3,0.016836,0.0709125,-1.005707
3.32,0.016836,0.0709125,-1.005707
3.34,0.0457805,0.0716445,-1.025593
3.36,0.020496,0.0598105,-1.008147
3.38,0.020496,0.0598105,-1.008147
3.4,0.012566,0.0646905,-1.006439
3.42,0.012566,0.0646905,-1.006439
3.44,0.0244,0.0610305,-1.015589
3.46,0.0244,0.0610305,-1.015589
3.48,0.010492,0.0570045,-1.007293
3.5,0.010492,0.0570045,-1.007293
3.52,0.023912,0.0615185,-1.025349
3.54,0.023912,0.0615185,-1.025349
3.56,0.023912,0.0615185,-1.025349
3.58,0.011102,0.0437065,-1.027545
3.6,0.011102,0.0437065,-1.027545
