Time,x,y,z

2,0.0782325,-1.002535,-0.01037
2.02,0.0355325,-0.9678565,0.0332145
2.04,0.0437065,-0.937448,0.0330925
2.06,0.0570045,-0.912316,0.0643245
2.08,0.0559065,-0.889014,0.106201
2.1,0.0559065,-0.889014,0.106201
2.12,0.0765245,-0.8370115,0.1808955
2.14,0.0506605,-0.8323755,0.1602775
2.16,0.0506605,-0.8323755,0.1602775
2.18,0.001464,-0.779153,-0.0401685
2.2,0.001464,-0.779153,-0.0401685
2.22,0.011468,-0.7231245,0.021838
2.24,0.011468,-0.7231245,0.021838
2.26,-0.0672525,-0.699304,-0.095343
2.28,-0.0672525,-0.699304,-0.095343
2.3,0.0504165,-0.581513,-0.1667435
2.32,0.0785985,-0.568093,-0.138409
2.34,0.0785985,-0.568093,-0.138409
2.36,-0.091805,-0.5213365,-0.369355
2.38,-0.091805,-0.5213365,-0.369355
2.4,0.0629825,-0.3919555,-0.5190185
2.42,0.0629825,-0.3919555,-0.5190185
2.44,0.0629825,-0.3919555,-0.5190185
2.46,-0.0699365,-0.3112525,-0.89853
2.48,-0.0699365,-0.3112525,-0.89853
2.5,-0.136579,-0.1603995,-1.075521
2.52,-0.0851865,-0.1630835,-1.500295
2.54,-0.016836,-0.139141,-1.717211
2.56,-0.016836,-0.139141,-1.717211
2.58,-0.000366,-0.101809,-1.709403
2.6,-0.000366,-0.101809,-1.709403
2.62,-0.000366,-0.101809,-1.709403
2.64,-0.1574715,-0.126209,-1.674969
2.66,-0.0783545,-0.129259,-1.66655
2.68,-0.0495625,-0.124989,-1.495537
2.7,-0.0495625,-0.124989,-1.495537
2.72,-0.013054,-0.0616405,-0.9634645
2.74,-0.013054,-0.0616405,-0.9634645
2.76,-0.0537105,-0.023058,-1.090284
2.78,-0.0537105,-0.023058,-1.090284
2.8,-0.0756705,-0.01525,-1.126914
2.82,-0.0756705,-0.01525,-1.126914
2.84,-0.0756705,-0.01525,-1.126914
2.86,-0.0611525,0.01647,-1.092602
2.88,-0.0611525,0.01647,-1.092602
2.9,-0.024644,0.0321165,-1.079304
2.92,-0.024644,0.0321165,-1.079304
2.94,-0.0427305,0.0437065,-1.059662
2.96,-0.0427305,0.0437065,-1.059662
2.98,-0.008174,0.0411445,-1.080036
3,-0.008174,0.0411445,-1.080036
3.02,-0.0484645,0.0637145,-0.9993325
3.04,-0.0484645,0.0637145,-0.9993325
3.06,-0.025132,0.0746945,-0.9909145
3.08,-0.025132,0.0746945,-0.9909145
3.1,-0.025132,0.0746945,-0.9909145
3.12,-0.020618,0.0550525,-1.028643
3.14,-0.020618,0.0550525,-1.028643
3.16,0.012444,0.0418765,-1.065151
3.18,0.012444,0.0418765,-1.065151
3.2,-0.011956,0.0439505,-0.9881085
3.22,-0.011956,0.0439505,-0.9881085
3.24,-0.0346785,0.0473665,-0.9588285
3.26,-0.0346785,0.0473665,-0.9588285
3.28,-0.021472,0.0501725,-0.942938
3.3,-0.021472,0.0501725,-0.942938
3.32,-0.0402905,-0.022204,-1.12606
3.34,0.0434625,0.0657885,-1.039745
3.36,0.019032,0.0659105,-1.088087
3.38,0.019032,0.0659105,-1.088087
3.4,0.0354105,0.0413885,-1.023763
3.42,0.0354105,0.0413885,-1.023763
3.44,0.0354105,0.0413885,-1.023763
3.46,0.018422,0.0594445,-1.013637
3.48,0.018422,0.0594445,-1.013637
3.5,0.0332145,0.0368745,-1.007293
3.52,0.0332145,0.0368745,-1.007293
3.54,0.028548,0.0474885,-1.016077
3.56,0.028548,0.0474885,-1.016077
3.58,0.023302,0.0521245,-1.011319
3.6,0.0326045,0.0366305,-1.011929
3.62,0.0326045,0.0366305,-1.011929
3.64,0.0310185,0.0400465,-1.015101
3.66,0.0310185,0.0400465,-1.015101
3.68,0.026962,0.0427305,-1.019005
3.7,0.026962,0.0427305,-1.019005
3.72,0.026962,0.0427305,-1.019005
3.74,0.027206,0.0406565,-1.013149
3.76,0.017446,0.0410225,-1.014979
3.78,0.017446,0.0410225,-1.014979
3.8,0.017446,0.0410225,-1.014979
3.82,0.023302,0.0400465,-1.012173
3.84,0.023302,0.0400465,-1.012173
3.86,0.023302,0.0400465,-1.012173
3.88,0.02196,0.0406565,-1.014735
3.9,0.02196,0.0406565,-1.014735
3.92,0.01586,0.0383385,-1.011563
3.94,0.020862,0.0379725,-1.014979
3.96,0.020862,0.0379725,-1.014979
3.98,0.021228,0.0361425,-1.013393
4,0.019398,0.0354105,-1.014125
4.02,0.019398,0.0354105,-1.014125
4.04,0.019642,0.0373625,-1.013515
4.06,0.019642,0.0373625,-1.013515
