x,y,z

-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
-0.0801845,-1.012905,-0.0460245
