x,y,z

-0.0682285,-0.9533385,-0.119255
-0.0682285,-0.9533385,-0.119255
-0.0682285,-0.9533385,-0.119255
-0.0682285,-0.9533385,-0.119255
-0.0682285,-0.9533385,-0.119255
-0.0682285,-0.9533385,-0.119255
-0.0682285,-0.9533385,-0.119255
-0.0682285,-0.9533385,-0.119255
-0.0682285,-0.9533385,-0.119255
-0.0682285,-0.9533385,-0.119255
-0.0682285,-0.9533385,-0.119255
-0.0682285,-0.9533385,-0.119255
-0.0682285,-0.9533385,-0.119255
-0.0682285,-0.9533385,-0.119255
-0.0682285,-0.9533385,-0.119255
-0.0682285,-0.9533385,-0.119255
-0.0682285,-0.9533385,-0.119255
