Time,x,y,z

3.66,0.0827465,-0.714798,0.797941
3.68,-0.1564955,-0.4107435,0.575169
3.7,-0.251198,-0.3073485,0.2662345
3.72,-0.251198,-0.3073485,0.2662345
3.74,-0.125843,-0.0541985,0.23668
3.76,-0.125843,-0.0541985,0.23668
3.78,-0.0329705,0.099735,0.7648485
3.8,-0.0329705,0.099735,0.7648485
3.82,-0.0329705,0.099735,0.7648485
3.84,-0.437858,0.6541335,-1.240801
3.86,-0.437858,0.6541335,-1.240801
3.88,0.110837,0.5174325,-2.973994
3.9,0.110837,0.5174325,-2.973994
3.92,0.026718,0.0674965,-2.75171
3.94,0.026718,0.0674965,-2.75171
3.96,0.026718,0.0674965,-2.75171
3.98,-0.0410225,0.103273,-1.793004
4,-0.0410225,0.103273,-1.793004
4.02,0.2936845,-0.019032,-1.303295
4.04,0.2936845,-0.019032,-1.303295
4.06,0.02501,0.07994051,-1.061003
4.08,0.02501,0.07994051,-1.061003
4.1,-0.0688385,0.010614,-0.7644825
4.12,-0.0688385,0.010614,-0.7644825
4.14,-0.0688385,0.010614,-0.7644825
4.16,-0.107909,0.020008,-1.030473
4.18,-0.107909,0.020008,-1.030473
4.2,-0.115229,0.0506605,-0.9759085
4.22,-0.115229,0.0506605,-0.9759085
4.24,-0.09339099,0.0717665,-0.895358
4.26,-0.09339099,0.0717665,-0.895358
4.28,0.001098,-0.005124,-1.042429
4.3,0.001098,-0.005124,-1.042429
4.32,-0.024522,0.011224,-1.032181
4.34,-0.024522,0.011224,-1.032181
4.36,-0.024522,0.011224,-1.032181
4.38,0.010736,0.00122,-1.071373
4.4,0.010736,0.00122,-1.071373
4.42,-0.0384605,-0.00976,-1.030351
4.44,-0.0384605,-0.00976,-1.030351
4.46,-0.017202,-0.006832,-1.017297
4.48,-0.017202,-0.006832,-1.017297
4.5,-0.0349225,-0.009272,-0.9961604
4.52,-0.0297985,-0.010614,-0.9993325
4.54,-0.0297985,-0.010614,-0.9993325
4.56,-0.0307745,-0.002684,-1.012417
4.58,-0.0307745,-0.002684,-1.012417
4.6,-0.0463905,0.003294,-0.9968925
4.62,-0.0463905,0.003294,-0.9968925
4.64,-0.006222,0.008905999,-1.006683
4.66,-0.006222,0.008905999,-1.006683
4.68,-0.000244,0.017934,-1.023519
4.7,-0.000244,0.017934,-1.023519
4.72,-0.000244,0.017934,-1.023519
4.74,-0.02074,0.019398,-1.023519
4.76,-0.02074,0.019398,-1.023519
4.78,-0.027206,-0.001342,-1.023031
4.8,-0.027206,-0.001342,-1.023031
4.82,-0.021838,0.00671,-1.018151
4.84,-0.021838,0.00671,-1.018151
4.86,-0.0312625,0.015982,-1.014003
4.88,-0.0312625,0.015982,-1.014003
4.9,-0.0376065,0.008905999,-1.021811
4.92,-0.020618,0.013908,-1.013393
4.94,-0.010736,0.024156,-0.9993325
4.96,-0.010736,0.024156,-0.9993325
4.98,-0.022448,0.016348,-1.026447
5,-0.022448,0.016348,-1.026447
5.02,-0.022448,0.016348,-1.026447
5.04,-0.015128,0.00793,-1.039135
5.06,-0.015128,0.00793,-1.039135
5.08,-0.025742,0.010492,-1.002169
5.1,-0.025742,0.010492,-1.002169
5.12,-0.0302865,0.01952,-1.003511
5.14,-0.0302865,0.01952,-1.003511
5.16,-0.0312625,0.005002,-1.009367
5.18,-0.0312625,0.005002,-1.009367
5.2,-0.0312625,0.005002,-1.009367
5.22,-0.0660325,0.003172,-1.036451
5.24,-0.0660325,0.003172,-1.036451
5.26,0.01464,-0.002684,-1.036939
5.28,0.0491965,-0.006954,-1.015467
5.3,0.0506605,-0.004758,-0.9678565
5.32,0.0506605,-0.004758,-0.9678565
5.34,0.0506605,-0.004758,-0.9678565
5.36,0.0355325,0.011956,-0.9914025
5.38,0.0355325,0.011956,-0.9914025
5.4,0.0355325,0.011956,-0.9914025
5.42,0.0822585,0.024766,-1.020347
5.44,0.0822585,0.024766,-1.020347
5.46,0.0773785,-0.015738,-1.011929
5.48,0.0645685,0.000366,-1.011807
5.5,0.0645685,0.000366,-1.011807
5.52,0.099857,-0.0376065,-1.083452
5.54,0.099857,-0.0376065,-1.083452
5.56,0.021228,0.009881999,-1.000064
5.58,0.021228,0.009881999,-1.000064
5.6,0.021228,0.009881999,-1.000064
5.62,0.0451705,0.011712,-1.013271
5.64,0.011224,0.012322,-1.012661
5.66,0.0710345,0.015494,-1.004853
5.68,0.0506605,0.01037,-0.9676125
5.7,0.0506605,0.01037,-0.9676125
5.72,0.0506605,0.01037,-0.9676125
5.74,0.019154,0.0372405,-0.9900605
5.76,0.019154,0.0372405,-0.9900605
5.78,0.06420249,0.011346,-1.00104
5.8,0.0545645,0.00427,-1.017175
5.82,0.0545645,0.00427,-1.017175
5.84,-0.001342,0.0562725,-0.806847
5.86,-0.001342,0.0562725,-0.806847
5.88,0.101931,0.0473665,-1.437435
5.9,-0.021594,-0.023546,-0.8499435
5.92,-0.021594,-0.023546,-0.8499435
5.94,-0.019032,0.0612745,-0.8473815
5.96,-0.019032,0.0612745,-0.8473815
5.98,0.0506605,0.015372,-1.012539
6,0.024156,0.0500505,-1.045601
6.02,0.024156,0.0500505,-1.045601
6.04,0.0333365,0.0417545,-0.9990885
6.06,0.0333365,0.0417545,-0.9990885
6.08,0.018544,0.0445605,-0.9968925
6.1,0.018544,0.0445605,-0.9968925
6.12,0.0334585,0.0446825,-1.006683
6.14,0.0334585,0.0446825,-1.006683
6.16,0.0407785,0.0454145,-1.064785
6.18,0.0407785,0.0454145,-1.064785
6.2,0.0372405,0.0439505,-1.014369
6.22,0.0372405,0.0439505,-1.014369
6.24,0.0372405,0.0439505,-1.014369
6.26,0.0368745,0.0351665,-1.016077
6.28,0.0368745,0.0351665,-1.016077
6.3,0.0350445,0.0380945,-1.013027
6.32,0.0350445,0.0380945,-1.013027
6.34,0.0350445,0.0380945,-1.013027
6.36,0.0305305,0.0352885,-1.009123
6.38,0.0305305,0.0352885,-1.009123
6.4,0.0324825,0.0318725,-1.012051
