Time,x,y,z
9.8,-0.0695705,0.0612745,-1.076741
9.82,-0.0673745,0.0596885,-1.010343
9.84,-0.0432185,0.0471225,-1.024373
9.86,0.0611525,-0.011102,-1.024007
9.88,0.0543205,0.0122,-1.005951
9.9,0.0357765,0.0390705,-1.006805
9.92,0.0357765,0.0390705,-1.006805
9.94,0.018666,0.0533445,-1.014369
9.96,0.0382165,0.0490745,-1.022543
9.98,0.0450485,0.0568825,-1.016931
10,0.0461465,0.0382165,-1.006805
10.02,0.0441945,0.027694,-1.006805
10.04,0.0441945,0.027694,-1.006805
10.06,0.0428525,0.026352,-1.017297
10.08,0.0443165,0.0329705,-1.010465
10.1,0.0456585,0.0337025,-1.011441
10.12,0.0465125,0.0338245,-1.012051
10.14,0.0411445,0.02684,-1.010465
10.16,0.0409005,0.02806,-1.010831
10.18,0.0396805,0.026962,-1.011075
10.2,0.0388265,0.0295545,-1.018517
10.22,0.0380945,0.027328,-1.012051
10.24,0.0341905,0.026352,-1.012295
10.26,0.0341905,0.026352,-1.012295
10.28,0.0322385,0.025376,-1.013637
10.3,0.0343125,0.023058,-1.015589
10.32,0.0333365,0.0289445,-1.020591
10.34,0.0337025,0.025254,-1.010587
10.36,0.0326045,0.022448,-1.014979
10.38,0.0318725,0.022814,-1.014735
10.4,0.0299205,0.022204,-1.020225
10.42,0.0339465,0.022326,-1.013759
10.44,0.0340685,0.020252,-1.011197
10.46,0.027938,0.019398,-1.011929
10.48,0.0295545,0.022082,-1.012417
10.5,0.028304,0.02074,-1.017175
10.52,0.028304,0.02074,-1.017175
10.54,0.027694,0.02196,-1.012539
10.56,0.025498,0.021106,-1.013515
10.58,0.023058,0.021838,-1.014613
10.6,0.02379,0.02135,-1.013271
10.62,0.02379,0.02135,-1.013271
10.64,0.021472,0.021838,-1.014857
10.66,0.019642,0.022448,-1.014979
10.68,0.015982,0.02196,-1.011563
10.7,0.012932,0.022326,-1.015101
10.72,0.003782,0.023546,-1.026325
10.74,0.003782,0.023546,-1.026325
10.76,0.002684,0.023058,-1.018639
10.78,0.002806,0.02013,-1.017175
10.8,0.00122,0.021228,-1.016809
10.82,0.001342,0.02135,-1.016443
10.84,0,0.020252,-1.015955
10.86,-0.00061,0.018178,-1.016077
10.88,-0.000854,0.020374,-1.016077
10.9,0.001586,0.019154,-1.014491
10.92,0.001342,0.020496,-1.014491
10.94,0.000122,0.020374,-1.015345
10.96,0.000488,0.019032,-1.015711
10.98,0.000976,0.019398,-1.014979
11,-0.000244,0.019154,-1.015589
11.02,0.000244,0.020374,-1.013637
11.04,-0.00061,0.020008,-1.014735
11.06,-0.002074,0.020496,-1.014125
11.08,-0.001708,0.019398,-1.014735
11.1,-0.001708,0.019398,-1.014735
11.12,-0.001098,0.019764,-1.014003
11.14,0.010858,0.01769,-0.9960385
11.16,0.010858,0.01769,-0.9960385
11.18,-0.014762,0.01891,-1.016077
11.2,-0.017568,0.01891,-1.017419
11.22,-0.017568,0.01891,-1.017419
11.24,-0.016958,0.01647,-1.016565
11.26,-0.017934,0.017324,-1.016687
11.28,-0.018544,0.016714,-1.016443
11.3,-0.019642,0.015372,-1.015467
11.32,-0.021472,0.016592,-1.016199
11.34,-0.023424,0.016958,-1.015589
11.36,-0.022692,0.018056,-1.015711
11.38,-0.02013,0.016958,-1.018761
11.4,-0.025986,0.014762,-1.012905
11.42,-0.025254,0.015738,-1.014491
11.44,-0.025132,0.01403,-1.016565
11.46,-0.025986,0.016714,-1.014613
11.48,-0.025742,0.016348,-1.016321
11.5,-0.02501,0.015982,-1.015589
11.52,-0.026474,0.01586,-1.016809
11.54,-0.025376,0.015372,-1.014247
11.56,-0.026352,0.01464,-1.015345
11.58,-0.026352,0.01464,-1.015345
11.6,-0.024278,0.015738,-1.016565
11.62,-0.026108,0.014152,-1.014613
11.64,-0.026108,0.015006,-1.015467
11.66,-0.024156,0.01586,-1.016077
11.68,-0.024766,0.016714,-1.016077
11.7,-0.024766,0.016714,-1.016077
11.72,-0.026962,0.016714,-1.015345
11.74,-0.027084,0.016348,-1.014979
11.76,-0.027572,0.014518,-1.014369
11.78,-0.027572,0.01403,-1.015101
11.8,-0.026962,0.015006,-1.014735
11.82,-0.026596,0.015982,-1.015101
11.84,-0.026718,0.015738,-1.014247
11.86,-0.025986,0.014274,-1.014491
11.88,-0.02745,0.017324,-1.015955
11.9,-0.027328,0.014518,-1.015345
11.92,-0.026962,0.016592,-1.015467
11.94,-0.026962,0.016592,-1.015467
11.96,-0.027816,0.015372,-1.016565
11.98,-0.0287005,0.015738,-1.016443
12,-0.02806,0.015006,-1.015589
12.02,-0.024766,0.014518,-1.017175
12.04,-0.02806,0.014152,-1.014735
12.06,-0.02806,0.014152,-1.014735
12.08,-0.027694,0.016104,-1.015711
12.1,-0.0289445,0.016104,-1.014613
12.12,-0.02684,0.016104,-1.014857
12.14,-0.02623,0.015982,-1.015467
12.16,-0.027572,0.015616,-1.015101
12.18,-0.027572,0.015616,-1.015101
12.2,-0.02745,0.01464,-1.016077
12.22,-0.026474,0.014396,-1.016077
12.24,-0.028304,0.016592,-1.015711
12.26,-0.027084,0.016958,-1.014247
12.28,-0.027328,0.01769,-1.016077
12.3,-0.027328,0.01769,-1.016077
12.32,-0.02745,0.015494,-1.015711
12.34,-0.026962,0.01647,-1.015589
12.36,-0.025986,0.01586,-1.014491
12.38,-0.028304,0.014884,-1.013881
12.4,-0.027084,0.014884,-1.015711
12.42,-0.027084,0.014884,-1.015711
12.44,-0.02806,0.016226,-1.016565
12.46,-0.027206,0.01403,-1.016443
12.48,-0.027572,0.015128,-1.015467
12.5,-0.0289445,0.016958,-1.015345
12.52,-0.027694,0.01525,-1.015223
12.54,-0.027694,0.01525,-1.015223
12.56,-0.02562,0.015616,-1.015467
12.58,-0.02806,0.015616,-1.014369
12.6,-0.027572,0.015372,-1.015955
12.62,-0.02745,0.015128,-1.014735
12.64,-0.027328,0.015372,-1.015101
12.66,-0.02745,0.015372,-1.015955
12.68,-0.028182,0.015006,-1.015345
12.7,-0.028548,0.016592,-1.016321
12.72,-0.02684,0.014762,-1.015467
12.74,-0.027084,0.013176,-1.016199
12.76,-0.028304,0.016104,-1.016077
12.78,-0.028304,0.016104,-1.016077
12.8,-0.027328,0.015372,-1.015467
12.82,-0.026352,0.015128,-1.014979
12.84,-0.027816,0.017568,-1.014003
12.86,-0.027816,0.017568,-1.014003
12.88,-0.027816,0.017568,-1.014003
12.9,-0.028182,0.014518,-1.014979
12.92,-0.028182,0.014518,-1.014979
12.94,-0.027572,0.015006,-1.015101
12.96,-0.02684,0.015128,-1.013881
12.98,-0.027328,0.015494,-1.016199
13,-0.027206,0.01586,-1.015589
13.02,-0.027206,0.01586,-1.015589
13.04,-0.0287005,0.01464,-1.015223
13.06,-0.027694,0.015128,-1.014613
13.08,-0.027816,0.01464,-1.015589
13.1,-0.028304,0.01525,-1.015589
13.12,-0.027572,0.015616,-1.015345
13.14,-0.027328,0.015494,-1.016321
13.16,-0.028426,0.015372,-1.014979
13.18,-0.02745,0.015982,-1.015711
13.2,-0.026108,0.01464,-1.014979
13.22,-0.02806,0.016592,-1.015711
13.24,-0.02806,0.016592,-1.015711
13.26,-0.028304,0.015738,-1.015711
13.28,-0.02745,0.016104,-1.015345
13.3,-0.02745,0.014884,-1.014857
13.32,-0.027206,0.01525,-1.015345
13.34,-0.027206,0.01525,-1.015345
13.36,-0.0287005,0.014152,-1.014735
13.38,-0.0287005,0.014152,-1.014735
13.4,-0.027694,0.01525,-1.015223
13.42,-0.027084,0.014884,-1.015223
13.44,-0.02745,0.015372,-1.015223
13.46,-0.028426,0.016226,-1.015711
13.48,-0.028426,0.016226,-1.015711
13.5,-0.026352,0.014274,-1.016321
13.52,-0.026352,0.014274,-1.016321
13.54,-0.028182,0.016714,-1.014369
13.56,-0.028548,0.015372,-1.014369
