x,y,z

0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
0.0714005,0.0699365,0.1876055
