Time,x,y,z

1.94,-0.095953,-0.9798126,-0.0452925
1.96,0.028182,-0.9893285,-0.138287
1.98,0.028182,-0.9893285,-0.138287
2,0.028182,-0.9893285,-0.138287
2.02,0.007442,-0.9759085,-0.131943
2.04,0.007442,-0.9759085,-0.131943
2.06,-0.0340685,-0.9615124,-0.129259
2.08,-0.0340685,-0.9615124,-0.129259
2.1,-0.0340685,-0.9615124,-0.129259
2.12,-0.0304085,-0.9760305,-0.243024
2.14,-0.0304085,-0.9760305,-0.243024
2.16,-0.01403,-0.9706625,-0.216306
2.18,-0.0538325,-0.915122,-0.098759
2.2,-0.0717665,-0.924394,-0.137067
2.22,-0.0717665,-0.924394,-0.137067
2.24,-0.02135,-0.931592,-0.2714805
2.26,-0.02135,-0.931592,-0.2714805
2.28,-0.02135,-0.931592,-0.2714805
2.3,-0.0313845,-0.9114619,-0.253272
2.32,-0.0313845,-0.9114619,-0.253272
2.34,-0.00061,-0.8827615,-0.2862425
2.36,0.018666,-0.8233171,-0.07201049
2.38,-0.0416325,-0.8963341,-0.1934615
2.4,-0.0416325,-0.8963341,-0.1934615
2.42,-0.00366,-0.90219,-0.5135285
2.44,-0.00366,-0.90219,-0.5135285
2.46,-0.00366,-0.90219,-0.5135285
2.48,0.0352885,-0.8586055,-0.4237975
2.5,0.0352885,-0.8586055,-0.4237975
2.52,0.0437065,-0.8466495,-0.4003735
2.54,0.01464,-0.798551,-0.3989095
2.56,0.0616405,-0.795501,-0.4094015
2.58,0.0616405,-0.795501,-0.4094015
2.6,0.0616405,-0.795501,-0.4094015
2.62,0.0687165,-0.7691185,-0.4092795
2.64,0.0687165,-0.7691185,-0.4092795
2.66,-0.1441735,-0.700768,-0.453718
2.68,-0.1441735,-0.700768,-0.453718
2.7,-0.0504165,-0.660142,-0.465674
2.72,-0.0504165,-0.660142,-0.465674
2.74,-0.097051,-0.6293675,-0.596519
2.76,-0.099613,-0.6010635,-0.661972
2.78,-0.0795745,-0.558699,-0.6479115
2.8,-0.0795745,-0.558699,-0.6479115
2.82,-0.0655445,-0.469578,-0.6169235
2.84,-0.0655445,-0.469578,-0.6169235
2.86,-0.1618635,-0.4064735,-0.781227
2.88,-0.212036,-0.358375,-0.8682435
2.9,-0.212036,-0.358375,-0.8682435
2.92,-0.208376,-0.3035665,-1.080768
2.94,0.00488,-0.2585485,-1.240313
2.96,0.00488,-0.2585485,-1.240313
2.98,0.00488,-0.2585485,-1.240313
3,0.020984,-0.123281,-1.13521
3.02,-0.020252,-0.1813835,-1.260565
3.04,0.1577155,0.0588345,-1.484191
3.06,0.1577155,0.0588345,-1.484191
3.08,0.21411,-0.124989,-1.450488
3.1,0.21411,-0.124989,-1.450488
3.12,0.212646,0.0632265,-1.30049
3.14,0.212646,0.0632265,-1.30049
3.16,0.06530049,0.0626165,-1.179893
3.18,0.086193,0.0555405,-0.8705615
3.2,0.086193,0.0555405,-0.8705615
3.22,0.015982,0.095709,-0.9449205
3.24,0.015982,0.095709,-0.9449205
3.26,0.01403,0.086803,-1.042795
3.28,0.01403,0.086803,-1.042795
3.3,0.01403,0.086803,-1.042795
3.32,0.024644,0.0836005,-1.029741
3.34,0.024644,0.0836005,-1.029741
3.36,-0.001586,0.0433405,-1.022909
3.38,-0.001586,0.0433405,-1.022909
3.4,-0.001586,0.0433405,-1.022909
3.42,-0.009028,0.0466345,-1.018761
3.44,-0.009028,0.0466345,-1.018761
3.46,-0.000488,0.0518805,-1.057313
3.48,-0.000488,0.0518805,-1.057313
3.5,-0.134017,-0.1468575,-0.5404905
3.52,-0.134017,-0.1468575,-0.5404905
3.54,-0.015494,-0.026352,-1.220884
3.56,-0.015494,-0.026352,-1.220884
3.58,-0.01525,0.001708,-1.068079
3.6,-0.01525,0.001708,-1.068079
3.62,-0.01525,0.001708,-1.068079
3.64,-0.01769,-0.000854,-1.018883
3.66,-0.01769,-0.000854,-1.018883
3.68,-0.019154,-0.001708,-1.014979
3.7,-0.019154,-0.001708,-1.014979
3.72,-0.01891,0.000366,-1.015467
3.74,-0.01891,0.000366,-1.015467
3.76,-0.01891,0.000366,-1.015467
3.78,-0.02013,0.00183,-1.016321
3.8,-0.02013,0.00183,-1.016321
3.82,-0.02013,0.00183,-1.016321
3.84,-0.01403,-0.000122,-1.015345
3.86,-0.01403,-0.000122,-1.015345
3.88,-0.018788,-0.00061,-1.016199
3.9,-0.018788,-0.00061,-1.016199
3.92,-0.017812,0.00183,-1.015467
3.94,-0.017812,0.00183,-1.015467
3.96,-0.01647,-0.001952,-1.014979
3.98,-0.01647,-0.001952,-1.014979
4,-0.01647,-0.001952,-1.014979
4.02,-0.015128,0.000732,-1.015589
4.04,-0.015128,0.000732,-1.015589
4.06,-0.016714,0.00061,-1.015589
4.08,-0.017812,-0.002074,-1.015467
4.1,-0.017812,-0.002074,-1.015467
